CompanyName,Location,Description,HyperLink
Rule Boston Camera,"Newton, Massachusetts","Rule Boston Camera offers professional equipment rentals, production expendables, tech support and a variety of services for film, video, digital content and media-makers. 

Rule Boston Camera is dedicated to supporting filmmakers and media professionals through rentals, sales and service of the…",https://www.productionhub.com/profiles/details/16829
Creators Media Group,"Pleasantville, New York","CMG Is New York's Leading Full Service Production Company. CMG Specializes In Corporate and Broadcast Film and Video Production and Post Production. Our Award Winning Team Offers Script-to-Screen services, with all production equipment and crew in-house.",https://www.productionhub.com/profiles/details/159333
MAPS - Mobile Arts Production Services,"Miami Beach, Florida","Mobile Arts Production Services is a full-service production company that specializes in fashion photography in Miami and New York City. 

MAPS opened its doors over 16 years ago and provides clients a concierge-style production experience that ranges from motor home rentals, to a professional…",https://www.productionhub.com/profiles/details/109348
OperTEC,"Kyiv, Ukraine","Company «OperTec» was established in 2000.

Main activities: development, production, service and rental of special camera equipment. The rich experience of the staff, the desire to understand the problems of customers and partners, the constant search for self-improvement and enabled the company…",https://www.productionhub.com/profiles/details/282046
Los Angeles Audio Rentals,"Culver City, California","Los Angeles Audio Rentals offers live sound system rental packages for concerts, corporate events, parties, trade shows, weddings, and other live functions.  We also offer audio engineer, sound technician, and stage hand services.


Los Angeles Audio Rentals is a one stop audio rental shop…",https://www.productionhub.com/profiles/details/185320
"Two Seas, LLC","South El Monte, California","Black-out film stage rental located in South El Monte run by a group of passionate young filmmakers. Our stage is available for rent, along with our entire lighting, camera, and G&E inventory. We also have film flats available to rent and plenty of space to construct sets of all types. Our space is…",https://www.productionhub.com/profiles/details/343949
Blue and Yellow Productions,"New York, New York","a full scale video production company for small businesses, artists and individuals, all looking to gain exposure through innovative and creative video and new media content.
Let’s work together and collaborate to produce your vision!",https://www.productionhub.com/profiles/details/331128
Elite Multimedia Productions,"Nashville, Tennessee","We Ignite, Inspire and create unforgettable live productions. Full service provider of audio, video, lighting, LED, rigging and staging.

We specialize in concert touring, live event production and production gear rental. We offer full-service Audio Visual Production, Video Production, and Live…",https://www.productionhub.com/profiles/details/338211
"Cinelease, Inc.","Los Angeles, California","Cinelease is a market leader in lighting and grip rentals to the motion picture, television and commercial industry. Offering over 35 years of experience, our team of dedicated professionals has the knowledge and resources to provide a personalized consultative service experience. Now a Hertz…",https://www.productionhub.com/profiles/details/263158
Barbizon - Denver,"Denver, Colorado","Barbizon Lighting is not only your one-stop source for sales, service, integration, and installation of studio lighting, dimming, rigging, and parts; we also stock a vast range of replacement projector lamps, stage & studio lamps, tape, gel and accessories in our 13 locations across the globe. …",https://www.productionhub.com/profiles/details/30553
ColossoVision Canada,"Calgary, Alberta","ColossoVision Specializing In Mobile And Modular LED Screen Rentals
Indoor / Outdoor  High Resolution Screens For Anytime Of The Day!

- LED screens that are bright under harsh lighting conditions which includes direct sunlight.  
- High resolution indoor and outdoor LED screens.  
- Indoor…",https://www.productionhub.com/profiles/details/159811
Act Zero Films,"Brooklyn, New York","Act Zero Films is a Brooklyn based production support company. We offer production support in varying capacities, from equipment rental to full production management from pre-production on. We are environmentally conscious in our work, and try and encourage the same on every production that we work…",https://www.productionhub.com/profiles/details/182455
ZTV Broadcast Equipment Rentals Inc.,"Mississauga, Ontario","ZTV Broadcast Equipment Rentals is an industry leader serving the greater Toronto area and Canada for 20+ years. Carrying both HD and SD cameras plus support equipment, ZTV is known as the company to call for your production needs. Visit us for a consultation and quote on your next event -  coffee…",https://www.productionhub.com/profiles/details/178143
Magnanimous Rentals,"Chicago, Illinois","We rent high-quality equipment to video and photo professionals to help you achieve your goals and pursue your passions. From camera rental to lenses, from the Canon C300 to the Sony FS7, from lighting to studio rental, we have everything you need. We’re your reliable, inexpensive video equipment…",https://www.productionhub.com/profiles/details/183116
Webb Audio Visual,"Salt Lake City, Utah","Webb Audio Visual is a wildly creative full service event planning/management and audio visual company with a passion for excellence. Established in 1955, Webb AV has always insisted on using the highest quality of technology and equipment while ensuring that our staff is the best in the…",https://www.productionhub.com/profiles/details/247653
Video M.T.L. - Toronto,"Toronto, Ontario",Video MTL has long been recognized as a business at the cutting edge of digital technology and at the service of a very diverse customer base: we are striving harder than ever to find global and individual solutions for an industry in the midst of constant change. Whether you need supervision and…,https://www.productionhub.com/profiles/details/184738
Hive Lighting,"Los Angeles, California","Hive’s Plasma products are engineered to be durable, lightweight and foolproof. They use 50% to 90% less energy than conventional studio fixtures. Their simple, rugged design makes them suitable for all types of production, whether on stages, studios or at remote locations running off batteries.…",https://www.productionhub.com/profiles/details/206213
The Refinery,"Ginger Bay, Barbados","The Refinery was launched in 2006, and has evolved over the years into one of the Caribbean’s premier media production & post-production companies, servicing a number of high end clients such as HBO, Technicolor, CBS, Universal Records and Coca Cola.",https://www.productionhub.com/profiles/details/284522
AVM Creative Solutions,"Houston, Texas","AVM Creative Solutions was established with one goal in mind; provide state of the art equipment, techniques, and professionalism at price points to fit most project budgets. Established by 3 seasoned professionals from different facets of the audio, video, and digital media industries.

AVM…",https://www.productionhub.com/profiles/details/228571
Budget Video Rentals,"Miami, Florida","We rent virtually every , accessory, and production tool there is. We also rent all the high definition , SD gear -- cameras, decks, and much more!

24/7 Budget Video Rentals HD, DV, DVCAM, Betacam SP, PAL and NTSC, Lighting, Audio, Grip, complete production packages long and short term,…",https://www.productionhub.com/profiles/details/135760
"Cine Photo Tech, Inc - Atlanta","Atlanta, Georgia","For 36 years we have been providing the motion picture, commercial, and music video industry with the latest in  equipment from Arriflex, Moviecam, Aaton and Photosonics. With the advent of Hi-Def technology, CPT embraces the future with  from Sony and Panasonic. We understand that it just not…",https://www.productionhub.com/profiles/details/114265
Calgary Sound Rentals,"Calgary, Alberta","Calgary Sound Rentals provides audio equipment rentals for weddings, DJ's, keynote adresses, fundraisers and many many other events. We offer live mixing engineers, band liaison services, delivery and more. We pride ourselves on our excellent customer service in the Calgary sound rental equipment…",https://www.productionhub.com/profiles/details/188528
VR Legal Resources,"Santa Ana, California","Serving Southern California -

VR Legal Resources offers FULL Litigation Support for all your Audio and Video Forensics, Scanning, Photocopying, Coding, Trial Presentation, Depositions, Legal Animation, Synchronized Depositions and Project Management needs.

We are also expert witnesses in cases…",https://www.productionhub.com/profiles/details/188484
Aggreko,"Los Angeles, California","Event Rental Power, Temporary Heating & Cooling Equipment

When there are no second chances, make Aggreko Event Services your first call. Whether it’s an international sporting competition, a TV or movie production or a music festival, you can’t afford for temporary power or heating and cooling…",https://www.productionhub.com/profiles/details/314545
OER GoPro Rentals,"Highland Mills, New York","Outdoor Equipment Rentals provides low cost rentals of GoPro Hero3 and Hero3+ cameras, accessories and mounts.  Standard rental package comes with many mounts, batteries, SD card and more.  We can also accommodate large quantity orders, and custom requests (extra batteries, cards, mounts,…",https://www.productionhub.com/profiles/details/229614
Nashville Production Rentals,"Nashville, Tennessee","NPR is Nashville's best source for Broadcast Camera Rentals and Accessories.  We specialize in hard to find lenses such as tight (70x, 55x, 36x, and 33x.) and wide angle broadcast lenses.  We also stock HD cameras such as the Panasonic HDX900 and the Sony XDCAM. We also carry smaller cameras like…",https://www.productionhub.com/profiles/details/167827
High End Films,"Dubai , United Arab Emirates","High End Films, production companies in Lebanon and Dubai opens its studio doors for TV Channel Rental Services in Dubai and Production Houses in Lebanon.",https://www.productionhub.com/profiles/details/321619
Adorama Rental Co,"New York, New York","Adorama Rental Co has served the professional photography industry since 1988.

ARC provides high end cameras, lighting and grip and are proud to state that we have become the leading source in the pro digital field. We offer the latest still and video digital cameras, digital backs, as well as…",https://www.productionhub.com/profiles/details/195911
"Camelot Special Events & Tents, Inc.","Wakefield, Massachusetts","Family owned and operated, we have been serving Boston and New England for over 35 Years. 
Our clients are our Partners. We share a common goal and work together from inception through completion to ensure a successful event. By focusing on Superior Service and by providing High-Quality equipment…",https://www.productionhub.com/profiles/details/153624
"Riggs Production Associates, Inc.","Freeland, Washington","Special Effects Equipment Rental for the Pacific Northwest. Serving Seattle, Portland. Ritter style gas and electric fans. 18"" and 24"" E fans. Igeba, LeMaitre, F100 and lawnmower foggers. LeMaitre hazers and liquid CO2 foggers. Steam gennie, rain towers, crane rigs,etc. Snow tanks, air mortars,…",https://www.productionhub.com/profiles/details/35299
Thomas Digital,"Charlotte, North Carolina","Satellite uplink truck based in Charlotte, NC to covering the East Coast. KU truck with 2.4 meter dish on Freightliner M2 Chassis.

We cover everything from New England to Key West, from the Mississippi to the Atlantic. Our team of experienced broadcast professionals will ensure your peace of…",https://www.productionhub.com/profiles/details/282508
Liman Video Rental Co. INC,"New York, New York",Liman Video Rental Co. is a full service State of the Art Cine and television Rental House. We have everything from the brand new Arri Alexa to projectors and podiums. Come on in or give us a call!!,https://www.productionhub.com/profiles/details/131697
Extreme Lighting & Grip,"Las Vegas, Nevada","In Las Vegas Extreme Lighting is a one stop shop for all your production needs. 
Our loaded 1, 3, 5 and 10 ton truck packages are the envy in Las Vegas. We offer the latest in LEDs, Arri, Litegear, Sumo, Quazar, Zylight, HMIs, KinoFlo, Tungsten, Fisher dollies, cranes, and generators. Our…",https://www.productionhub.com/profiles/details/308886
Cine Rent West - Portland,"Portland, Oregon","Portland, Oregon’s Premiere Sound Stage Facility Serving all of your Still and Motion Picture Studio Needs.

Our stage has all the amenities you need to make your shoot go smoothly and quickly! Cine Rent West is one of Portland, Oregon’s largest production studios. We cater to both still and…",https://www.productionhub.com/profiles/details/129250
Chater Camera Inc,"Berkeley, California","Chater Camera is a full service motion picture camera and 35mm optics rental house serving the San Francisco Bay Area and all of Northern California.  We specialize in full camera packages for commercial productions, high end corporate image pieces and independent feature and episodic work.  We…",https://www.productionhub.com/profiles/details/172614
Khetigaadi,"Pune, India","khetigaadi is worlds first online marketplace providing well-structured bidding platforms for buying and selling of Tractors and Implements in Agricultural Mechanization. We provide the one-stop solution for buyers, sellers and manufacturers to connect with each other and fulfill their…",https://www.productionhub.com/profiles/details/336929
Varto Technologies,"East Rutherford, New Jersey","We are your local reseller of all live production, post production, non-linear editing, live streaming, 3D modeling/animation, compositing and DVD/Blu-Ray authoring and duplication needs. Our specialties include building TV studios for broadcast and education, building turnkey systems (Avid, Adobe,…",https://www.productionhub.com/profiles/details/140697
LumaForge,"Los Angeles, California","LumaForge provides cost-effective data storage solutions for production and post. We implement and support shared storage RAIDs and networks for on-set, near-set and post facilities.

If you need to store video files and share them between DITs, editorial and post, call us and talk through your…",https://www.productionhub.com/profiles/details/253244
Little Giant Lighting & Grip Co.,"San Francisco, California","The Little Giant Lighting is an Owner Operated Grip & Lighting Company.
Competitive pricing, superior design, and extensive inventory make this the company for all small, medium and large sized jobs.",https://www.productionhub.com/profiles/details/133988
Acurovision,"Clark, New Jersey","Full service video production for:

Promotions, Commercials, Broadcast, Sales, Instruction, Education, Advertising, Motivation, and Industry.
Conference & live event recording and webstreaming.
Video for the Web and DVD Authoring.

HD video conference suite available.  1080P video makes it…",https://www.productionhub.com/profiles/details/211169
Action Radio & Cell,"St. Cloud, Florida",We offer shipping nationwide of Nextel & Two way radios Rental and Sales. Discounted prices for production companies and large quantity's. Please call for quote.,https://www.productionhub.com/profiles/details/148142
AZGrip.com LLC,"Glendale, Arizona",2-ton Grip/Electric package. Owner-operator. Geared toward the small and medium sized shoot. 25 years in the Film and Video industry. AZ's best value truck for the small and medium sized shoots. We also manufacture the Dana Dolly.,https://www.productionhub.com/profiles/details/169039
Wild West Lighting,"Charlotte, North Carolina","Full service Theatrical Lighting House. We do Sales/Rentals/Productions/Installations of theatrical lighting equipment. We have a state of the art prep facility in Charlotte, NC where every piece of our rental gear is tested twice before it is put into the customers hands. We have the largest…",https://www.productionhub.com/profiles/details/181149
FACETMEDIA LLC,"Hollywood, Florida","4200 Square Foot studio in Hollywood, Florida providing cinematography equipment and production services to the music video industry, commercial films, short films and features. We work with both the RED EPIC and RED One which we also offer for rentals. We support directors with a basic production…",https://www.productionhub.com/profiles/details/202684
JML Productions LLC,"Savannah, Georgia","We provide film equipment rental as well as expendables sales. We can provide lighting, grip, electric distribution, camera accessories, production support and more. We are the largest Savannah-owned rental house specializing in film & video.",https://www.productionhub.com/profiles/details/329577
AED Group,"Willebroek, Belgium","Rent, FlexLease, Lease and Sales of State-of-the-art and standardized AV equipment.
AED group with headquarters in Belgium and divisions in The Netherlands,Germany, France and the United Kingdom, is the only Total Solution Provider within the AV industry. With 5 solutions and 7 business concepts…",https://www.productionhub.com/profiles/details/282047
Fast Ashleys Studios,"Brooklyn, New York","Fast Ashleys Studios is the premier full-service photo and video studio facility known for its friendly staff and commitment to client accommodation. Fast Ashleys is located on a quiet street in Williamsburg, Brooklyn, offering utmost privacy and accessibility. Offering four drive-in studios,…",https://www.productionhub.com/profiles/details/281201
Absolute Rentals,"Burbank, California","Absolute Rentals is dedicated to providing our clients with the best service and support in the industry. From camera, deck and Pro Tools rentals to post finishing services, we would like to be the ‘one stop shop’ for all of your production needs.",https://www.productionhub.com/profiles/details/189940
Savannah Film Company,"Savannah, Georgia","We offer lighting and grip equipment, studio space, and expendables in downtown Savannah, Georgia. Open Monday - Friday, 9am - 6pm. We also service the surrounding area, including Augusta, Charleston, Hilton Head, and Jacksonville.",https://www.productionhub.com/profiles/details/287563
Florida Film House,"Miami, Florida","Florida Film House is a full service production company and content creator based in Wynwood, Miami's most vibrant art district.  Our 5,000 Sq. ft. & 8 ton air conditioned studio space comes with a 50'L x 30'W x 14'H sound stage (studio) with above lighting available. We also have a greenroom,…",https://www.productionhub.com/profiles/details/345174
"JR Lighting, Inc.","North Las Vegas, Nevada","JR Lighting is the largest Lighting and Grip rental house in Nevada. Whatever you think you need to bring and whatever you might forget, we have it right here:
Preloaded 10-Ton, 5-Ton and 1-Ton Packages, HMI’s, Tungsten, Kino Flo’s, Sun Guns, Chimeras, Fisher Dollies, Cranes, Remote Heads,…",https://www.productionhub.com/profiles/details/25778
Dallas Photo Equipment Rentals,"Plano, Texas","Photo equipment rentals and photography equipment rentals in Dallas, Plano, Frisco, Allen, Garland, Mesquite, And all the DFW area. We can deliver and set up for your next shoot or recording.",https://www.productionhub.com/profiles/details/229898
Mobile Productions,"Toronto, Ontario","Need a mobile (OB van) and production services?     Mobile Productions has a state-of-the-art HD fleet.    Combined with value-added support, production coordination, and crewing services available as required, we truly offer full turn-key solutions for our clients.   From Sports, Arts &…",https://www.productionhub.com/profiles/details/212517
V.S.Service Limited Partnership,"Bangkok, Thailand","With over 25 years of experience, we are one of Thailand's largest film production company. We provide a wide range of equipments rental from lighting, grip, camera, generator, transport, crew as well as any production services all inclusive.",https://www.productionhub.com/profiles/details/238433
Inspired Image Picture Company,"Etobicoke, Ontario","With one of the biggest rental inventories in Canada, IIPC offers the newest and greatest in broadcast and cinema rental equipment. Together with our rental inventory, our vast network of industry professionals allows us to build the right crew for each project, no matter the scale.",https://www.productionhub.com/profiles/details/330828
Admiral Video - InMotion HD,"Buffalo, New York","We are a leading broadcast industry service company specializing in multi-camera video engineering and production. In addition to complete turn-key video production, we offer equipment rental and a state-of-the-art High Definition Television Production Truck.

We also have a focus on “special…",https://www.productionhub.com/profiles/details/161856
The Video Company / RENTaCAMERA.com,"Nashville, Tennessee","The Video Company, dba RENTaCAMERA.com, rents professional, state-of-the-art, broadcast, prosumer, and industrial quality video, photography, audio, support, grip, lighting equipment, as well as crewing. We cater to all and individuals and businesses big and small including to the professional…",https://www.productionhub.com/profiles/details/155831
GEO Los Angeles,"Los Angeles, California","GEO Los Angeles is the rental division of GEO FILM GROUP, Inc.
We pride ourselves in offering simple, cost effective, practical solutions for your camera / camera support needs.

﻿Geo Film Group was established in 1989 and has been providing camera support for over 20 years. We specialize in…",https://www.productionhub.com/profiles/details/262641
Good Dog Digital,"Toronto, Ontario","Good Dog Digital located near both of Toronto's main airports primarily provides camera rentals: Sony FS7, PDW F800, Canon C300 MKII, Sony A7SII, 5DMKIII, IO 4K, GoPro, 17"" OLED Monitors A170, EASYRIG, VARIO5, EF Lenses and Metabones PL adapters, etc.. We also carry basic LED Lighting and Grip.…",https://www.productionhub.com/profiles/details/290617
Advantage Video Systems,"Burbank, California","Advantage Video Systems is a company that builds and supports pro video systems every day.  With our FREE 24/7 support on all the systems we install and, the experience, training and certification we update every year gives us extensive knowledge in all areas of business and video workflows.  From…",https://www.productionhub.com/profiles/details/191576
"CineVideoTech, Inc","Miami Lakes, Florida","Our vast inventory of camera, lighting and grip equipment makes CineVideoTech a true ""one stop shop"", simplifying the coordination of any production effort. We carry a full range of the most up to date 35mm and 16mm cameras from Arriflex, Moviecam and Aaton, complimented by a wide array of…",https://www.productionhub.com/profiles/details/694
Production Power & Air,"Fort Lauderdale, Florida","At PRODUCTION POWER & AIR, We are your Portable Power 
& Climate Control Solution. We provide power and climate control for all types of shows and events. We can power your film shoots, Television, movies, Satellite trucks ,to major concerts or your neighborhood festivals . We can provide you with…",https://www.productionhub.com/profiles/details/189159
Satis&fy AG,"Karben, Germany","THE TRUE COLOURS OF EVENTS

Headquartered in Karben, Germany, and operating out of Werne, Berlin, Munich, Neuss, Hamburg, Hilversum (NL), Portland (USA) and Sao Paulo (BRA), satis&fy AG is a leading European full-service company for event equipment and event architecture. Launched in 1993, today…",https://www.productionhub.com/profiles/details/282056
ELEFANT FILMS,"Brooklyn, New York",ELEFANT FILMS has been the leader in GRIP & LIGHTING RENTALS since 2006. Our goal is to provide our clients with the best possible service. We DELIVER & PICK-UP for FREE all orders over $200. We also provide on site support.  We rent Grip & Lighting Equipment al a carte as well as Kits & Packages.…,https://www.productionhub.com/profiles/details/155201
Argentine Productions,"Pittsburgh, Pennsylvania","Argentine Productions provides creative media services for corporations, the nonprofit community (including museums and visitor centers, hospitals and educational institutions), and cable and broadcast.  Along with general production services, they also provide production management, location…",https://www.productionhub.com/profiles/details/148793
New Deal Studios,"Los Angeles, California","We are the marriage of artistry and technology, of aesthetic and efficiency.  We design, we build, we shoot, we post, we deliver. And we make your life easier in the process.

We've been creating iconic imagery for 15 years.  As a fully integrated studio, we've made a name for ourselves by…",https://www.productionhub.com/profiles/details/122764
"bmedia, inc","East Dundee, Illinois","bmedia inc has been in business for 14 years, and has been a mainstay in the film and television industry for quite some time.  We have just completed the finishing touches on ""Truth & Life,"" the audio Bible New Testament which is set to release 11-1-10 in all major market retail stores.  The…",https://www.productionhub.com/profiles/details/196459
HollyNorth Production Supplies Ltd.,"Burnaby, British Columbia","Expendables for nearly every dept. - Gaff, Duct, paper, barrier, vinyl, dance floor tapes - you name it, we have it. Eye cushions to Hand Warmers, Duracell Procells, Flashbulbs, Wardrobe supplies,FX makeup supplies (including Ben Nye, Kryolan, Cinema Secrets, Mehron, Reel Creations, Nick Dudman,…",https://www.productionhub.com/profiles/details/118419
Absolute Production Services,"Chicago, Illinois","When it comes to event production, we believe anything is possible. For over two decades, we’ve helped clients across the globe turn visions into reality and pull off the seemingly impossible. It is this unmatched depth of experience that has earned us a reputation as industry leaders.

Here at…",https://www.productionhub.com/profiles/details/130108
Porta-Jib / Hollywood General Machining,"Los Angeles, California","Hollywood General Machining, Inc. is located in the heart of Hollywood, CA. at 1033 N. Sycamore Avenue and produces two product lines: Losmandy Astronomical Products, and Porta-Jib  support products. Please visit our sister site: www.losmandy.com for the astronomical products.

Porta-Jib products…",https://www.productionhub.com/profiles/details/13505
Show-LITE Pro Lighting Equipment Sales/Rentals,"Miami, Florida","With the high demand for quality lighting systems needed in the production industry, we at Show-LITE ™ offer professional service and top of the line products for Outdoor Concerts . We are so passionate about what we do here at Show-LITE ™ that we even offer a 110% price match guarantee.  If you…",https://www.productionhub.com/profiles/details/230591
Energia Rentas,"Mexico City, Mexico","Energia Rentas offers integral assistance to the filmmaker. We keep updated with the objective of satisfy our customers with high technology and professional service, in good prices.

Energia Rentas - HD Cameras, Cinema and Professional Video Equipment Rentals",https://www.productionhub.com/profiles/details/268256
VFX Technologies,"Culver City, California","VFX Technologies provides technical solutions and equipment rentals for post production. 
We strive to help you achieve your vision through the integration of AV and IT. 
Some of the services we provide:
- Mac Pro rentals
- HP Workstation rentals
- Autodesk Flame rentals
- HP Render Blade…",https://www.productionhub.com/profiles/details/209255
Videocontacto,"Porto, Portugal","3  4K ENG  Teams with Light  Kits.EFP Mixer, Intercomm
Audio Filed Mixer, Boom, Lavalier Mics, LED Lights, Teleprompter, 6 person Van
4 Non Linear Edition Stations (4K, HD, Non Compressed YUV, Digital Betacam ,Betacam SX, Betacam SP, DVCAM, DVCPro, DVCPro50, HDV and DV)
1 Speaker Booth
Digital…",https://www.productionhub.com/profiles/details/182709
"Videosmith, Inc.","Philadelphia, Pennsylvania",For more than a Quarter of a Century Videosmith has been the leading professional video equipment rental house in the Philadelphia region - providing a wide range of rental and production services. We are renown for our experience shooting on location around the world - our crews have been to over…,https://www.productionhub.com/profiles/details/28336
MoviOnRent.com,"Mumbai, India","MoVI on Rent | Hire Freefly MoVI Gimbal & Aerial Copter (Drone) in Mumbai, India
Professional 4K Camera Drone on Rent Starting form Rs.10,000/-.
Equipment available on rental basis for Aerial photography & video shoots for short films, ad films, weddings, events etc..

Gears Ready for…",https://www.productionhub.com/profiles/details/306750
Red Star Pictures,"Oreland, Pennsylvania","Red Star Pictures is a full-service lighting, grip, and production supply rental house. With over 25 years of industry experience at our three national locations and a vast inventory. We are proud to be your ideal partner offering complete flexibility to scale to the needs of your project, budget,…",https://www.productionhub.com/profiles/details/261570
Tri-Lite TV,"Toronto, Ontario","We provide 3 HD mobile production units (OB vans) from our 34' straight truck to our 53' expando, 6 flight-pack systems, a complete rentals department, 2 production studios and complete crew and transmission co-ordination for broadcast and corporate clients.  

We deliver the right gear and the…",https://www.productionhub.com/profiles/details/166722
Event LED Supply,"Las Vegas, Nevada",At Event LED Supply we know that your reputation depends on the quality of the experience you provide to your customers. We are here to help you make that happen with stunning displays for an unforgettable event experience by supplying you with the highest quality LED walls. We also offer a variety…,https://www.productionhub.com/profiles/details/291833
"Media Visions, Inc.","Nashville, Tennessee","Media Visions Inc, is an audio, video, lighting, streaming and broadcast solution provider. Our client list ranges from government, corporate, religious and entertainment organizations. We have been in business for 20 years and have many years of local and international experience in event…",https://www.productionhub.com/profiles/details/285304
Cineverse - LA,"Glendale, California","RENTAL - Film and Digital Rental House in Los Angeles, Chicago, Miami, and New Orleans. Featuring 
FILM 
Arri ARRICAM ST (2, 3 & 4 Perforation) 
Arri ARRICAM LT (2, 3 & 4 Perforation) 
Arri 235 (3 & 4 Perforation) 
Arri 535B (3 & 4 Perforation) 
Arri 435 Xtreme & ES 
Arri 416 

DIGITAL…",https://www.productionhub.com/profiles/details/290194
24frame.com,"Hollywood, California","Welcome to the 24frame.com homepage. We are providers of 24 and 30 frame Computer / Video equipment and custom graphics to the motion picture and television industry. We have one of Hollywood''s largest inventories of vintage and contemporary television monitors, digital, ¾"" and Beta tape playback…",https://www.productionhub.com/profiles/details/137633
"Alan Gordon Enterprises, Inc.","Hollywood, California","Alan Gordon Enterprises, Inc. rents and sells motion picture equipment and accessories.  We also offer repair services, Glidecam training workshops & a 20% discount off all regular rental rates to registered film students.

A-G-E is also known for manufacturing equipment both for the motion…",https://www.productionhub.com/profiles/details/40693
Camtec Motion Picture Camera Systems,"Burbank, California","Camtec has served the film industry as a full-service  vendor since 1988, supporting everything from commercials and music videos to features and television.

We carry film and digital equipment.  In film we carry the Arricams, 435, 535, 235, 416 and SR-3 with all the latest glass such as Arri…",https://www.productionhub.com/profiles/details/181426
Plus One Rentals,"Baltimore, Maryland","Since 2011, Plus One Rentals has provided numerous production companies with equipment needed to operate a smooth and easy shoot. Specializing in location comforts, we offer premiere products for a quick 2 day shoot or lengthier 6 month production. In reality, time is of the essence in the film…",https://www.productionhub.com/profiles/details/274542
Image Technologies Corporation - St. Louis,"St. Louis, Missouri",Your message is more than a theme or a tagline. It is the inspiration and motivation that drives your people - and your customers - forward to ever-higher levels of performance and excellence. How that message is delivered will make the difference in how it is integrated into your corporate…,https://www.productionhub.com/profiles/details/21399
"HB Live, Inc.","North Haven, Connecticut","HB Live, Inc. is a full-service event production company. By fusing technology, creativity and logistics, we deliver engaging audiovisual events. Whether it’s a corporate town hall, university commencement or music festival, we have the know-how to elevate the audience experience.

We have lots…",https://www.productionhub.com/profiles/details/133758
"Advanced Multimedia, Inc","Lansing, Michigan","Gaffing & Lighting and Grip Equipment Rentals
28 Years Experience

Clients:
A&E Television
ACDelco
Advanced Auto Parts
Allstate Insurance
Animal Planet
Banks of Michigan
Chevrolet
CNN

Discovery Channel
Dodge
Filmmakers / Producers of Michigan

Fox Sports
Governor's Team,…",https://www.productionhub.com/profiles/details/164684
"North American Camera, LLC","Milwaukee, Wisconsin","Providing professional film and HD camera packages since 1994.
Featuring cameras by Arri, Red, Canon, Sony, Panasonic.  Lenses by Zeiss, Cooke, Angenieux, Canon. Full support and accessories packages available. We have been the leading local resource for professional camera equipment rental in…",https://www.productionhub.com/profiles/details/206192
Gear Up Media Rentals,"Minneapolis, Minnesota","Gear Up Media Rentals provides easy television and film production equipment rentals with *free drop off and pick up* in the Minneapolis/St. Paul area!

We have a wide inventory of equipment including:
- cameras
- camera support and accessories
- lenses
- lighting
- wireless systems
- grip…",https://www.productionhub.com/profiles/details/335491
Staging Directions Production Services,"Suwanee, Georgia","Full service live national event staging and production including audio, lighting, video projection and switching, scenic, labor.",https://www.productionhub.com/profiles/details/9075
Audio Visual Group,"New Orleans, Louisiana","The Audio Visual Group is a turn-key provider of audiovisual equipment, computers, production gear, and technical services for breakout meetings and general sessions of all sizes.

-  Audiovisual Equipment Rental & Operation
-  Production Equipment Rental & Operation
-  Computer and Printer…",https://www.productionhub.com/profiles/details/136592
Talamas Boston,"Newton, Massachusetts","Talamas Boston rents, sells and services a full line of professional audio and video equipment. Specializing in wireless communication configuration, frequency coordination, high definition video and the integration of audio and video applications, the company was founded in 1979 to serve the audio…",https://www.productionhub.com/profiles/details/184221
So Bright Productions,"Prole, Iowa","A provider of sound, lighting, video and indoor/outdoors LED video walls.  So Bright provides complete event packages including show design, production engineers/technicians, trucking, set up and tear down.  We collaborate with each client to create visual and audible art that is laced with…",https://www.productionhub.com/profiles/details/289759
"Center Staging, Inc","New Orleans, Louisiana","Located in New Orleans, Center Staging is a special events and concert staging company providing MultiQuip generators, trussing systems including load-bearing outdoor roof systems, scaffolding services as well as an inventory of over 32,000 sq. ft. of staging equipment. We are the leading provider…",https://www.productionhub.com/profiles/details/147096
Walking City Production Rentals,"Pembroke, Massachusetts","We're your ""one stop shop"" for all your base camp equipment needs.  From talent trailers to traffic cones, we have it all.  Television, film, photo shoots, live events... we do it all.",https://www.productionhub.com/profiles/details/336591
Videofax,"San Francisco, California","Videofax has been providing top quality camera equipment for over 30 years to the San Francisco Bay Area and to the world.  ARRI, Sony, Canon, RED cameras; Angenieux, ARRI, Canon, Cooke, Fujinon, Zeiss lenses.  Primes and zooms, vintage and new, full frame and anamorphic.  We have a deep inventory,…",https://www.productionhub.com/profiles/details/336521
Stage Front Production Services,"Savannah, Georgia","Since 1978, Stage Front Production Services has been supplying the Southeast with professional Equipment: Lighting,Audio,Video/ Film,Staging,Special Effects. Our markets include:Corporate,Concert, Theatrical,Worship, Educational, Entertainment Industries.  Production services, consumable supplies,…",https://www.productionhub.com/profiles/details/167159
Shooting Star Video,"Foster City, California","HD Camera Rentals.  Panasonic HDX900, HPX170 DVCPRO HD, Sony EX1 XDCAM EX cameras.  Sony DSR-450WS DVCAM, BVP-550WS BETACAM SP SD cameras.  Film style camera accessories, tapeless recording, lighting, audio, vans, crews.  Over 25 years in the Silicon Valley and beyond.",https://www.productionhub.com/profiles/details/186385
